PERSON;REG_ADDR_KOATUU;OPER_CODE;OPER_NAME;D_REG;DEP_CODE;DEP;BRAND;MODEL;VIN;MAKE_YEAR;COLOR;KIND;BODY;PURPOSE;FUEL;CAPACITY;OWN_WEIGHT;TOTAL_WEIGHT;N_REG_NEW
P;;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;31.07.2021;12294;ТСЦ 8045;HONDA;ACCORD;JHMCU2650CC206895;2011;ЧОРНИЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН;2354;1602;2030;КА8771ЕВ
P;1221855800;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);17.07.2021;12537;ТСЦ 1248;MITSUBISHI;ASX;JMBXTGA3WCZ005041;2012;СИНІЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ;ЗАГАЛЬНИЙ;БЕНЗИН;1798;1390;1970;АЕ0992РА
P;8036100000;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;06.04.2021;13960;ТСЦ 8048;TOYOTA;COROLLA;JTNBV56E70J182361;2012;СІРИЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН;1598;1250;1760;КА5612СА
P;3510100000;310;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУП.-ПРОД.ТА ІНШ.(ОФОРМ.НОТАРІАЛЬНО );19.02.2021;12290;ТСЦ 8041;LAND ROVER;DISCOVERY;SALLAAAF4CA632784;2012;СИНІЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;2993;2643;3240;ВА2719СО
P;1210136300;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);05.01.2021;12307;ТСЦ 4641;RENAULT;PREMIUM 420;VF622AVA000108852;2006;ЧЕРВОНИЙ;ВАНТАЖНИЙ;ПЛАТФОРМА;СПЕЦІАЛІЗОВАНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;11116;9110;19000;АЕ6570ОР
P;6810100000;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);06.02.2021;12371;ТСЦ 6841;FORD;MONDEO;WF0DXXGBBDBY29384;2011;БІЛИЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;1976;1620;2200;ВХ5549ЕМ
P;6824484001;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);03.04.2021;12374;ТСЦ 6844;KIA;SPORTAGE;U5YPB811BCL171980;2012;СІРИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;1998;1505;1980;ВХ3237ЕО
P;5924782201;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);21.07.2021;12347;ТСЦ 5946;DAEWOO;MATIZ;XWB4A11EDCA027556;2012;ЗЕЛЕНИЙ;ЛЕГКОВИЙ;ХЕТЧБЕК;ЗАГАЛЬНИЙ;БЕНЗИН;796;750;1100;ВМ4606СО
P;524310100;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;21.07.2021;12232;ТСЦ 0544;TOYOTA;AURIS;NMTKV56E80R098829;2012;СІРИЙ;ЛЕГКОВИЙ;ХЕТЧБЕК;ЗАГАЛЬНИЙ;БЕНЗИН;1598;1275;1750;АВ2888ЕІ
P;6825280501;340;ПЕРЕРЕЄСТРАЦIЯ У ЗВ`ЯЗКУ ЗI ЗМIНОЮ АНКЕТНИХ ДАНИХ ВЛАСНИКА(БЕЗ ЗМІНИ РЕГІОНУ РЕЄСТРАЦІЇ);08.01.2021;12373;ТСЦ 6843;OPEL;COMBO;W0L0XCF2584078463;2007;БІЛИЙ;ЛЕГКОВИЙ;ПАСАЖИРСЬКИЙ;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;1248;1240;2020;ВХ4764ЕО
